,Name,Data Types,Default Task,Attribute Types,Number of Instances,Number of Attributes,Year,Sample size
1,Abalone,Multivariate,Classification,"Categorical, Integer, Real",4177,8,1995,Large
2,Adult,Multivariate,Classification,"Categorical, Integer",48842,14,1996,Extra Large
3,Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38,,Medium
4,Anonymous Microsoft Web Data,,Recommender Systems,Categorical,37711,294,1998,Extra Large
5,Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279,1998,Medium
6,Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000,7,1992,Large
7,Audiology (Original),Multivariate,Classification,Categorical,226,,1987,Medium
8,Audiology (Standardized),Multivariate,Classification,Categorical,226,69,1992,Medium
9,Auto MPG,Multivariate,Regression,"Categorical, Real",398,8,1993,Medium
10,Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,26,1987,Medium
11,Badges,"Univariate, Text",Classification,,294,1,1994,Medium
12,Balance Scale,Multivariate,Classification,Categorical,625,4,1994,Medium
13,Balloons,Multivariate,Classification,Categorical,16,4,,Small
14,Breast Cancer,Multivariate,Classification,Categorical,286,9,1988,Medium
15,Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,10,1992,Medium
16,Breast Cancer Wisconsin (Prognostic),Multivariate,Regression,Real,198,34,1995,Medium
17,Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,32,1995,Medium
18,Pittsburgh Bridges,Multivariate,Classification,"Categorical, Integer",108,13,1990,Medium
19,Car Evaluation,Multivariate,Classification,Categorical,1728,6,1997,Large
20,Census Income,Multivariate,Classification,"Categorical, Integer",48842,14,1996,Extra Large
22,Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196,36,1989,Large
23,Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056,6,1994,Extra Large
25,Bach Chorales,"Univariate, Time-Series",Other/Unknown,"Categorical, Integer",100,6,,Small
26,Connect-4,"Multivariate, Spatial",Classification,Categorical,67557,42,1995,Extra Large
27,Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15,,Medium
28,Japanese Credit Screening,"Multivariate, Domain-Theory",Classification,"Categorical, Real, Integer",125,,1992,Medium
29,Computer Hardware,Multivariate,Regression,Integer,209,9,1987,Medium
30,Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9,1997,Large
31,Covertype,Multivariate,Classification,"Categorical, Integer",581012,54,1998,Extra Large
32,Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512,39,1995,Medium
33,Dermatology,Multivariate,Classification,"Categorical, Integer",366,33,1998,Medium
38,Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,12,1989,Medium
39,Ecoli,Multivariate,Classification,Real,336,8,1996,Medium
40,Flags,Multivariate,Classification,"Categorical, Integer",194,30,1990,Medium
41,Function Finding,,Other/Unknown,Real,352,,1990,Medium
42,Glass Identification,Multivariate,Classification,Real,214,10,1987,Medium
43,Haberman's Survival,Multivariate,Classification,Integer,306,3,1999,Medium
44,Hayes-Roth,Multivariate,Classification,Categorical,160,5,1989,Medium
45,Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,75,1988,Medium
46,Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19,1988,Medium
47,Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27,1989,Medium
49,Image Segmentation,Multivariate,Classification,Real,2310,19,1990,Large
50,Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",3279,1558,1998,Large
51,Ionosphere,Multivariate,Classification,"Integer, Real",351,34,1989,Medium
52,Iris,Multivariate,Classification,Real,150,4,1988,Medium
53,ISOLET,Multivariate,Classification,Real,7797,617,1994,Large
54,Kinship,Relational,Other/Unknown,Categorical,104,12,1990,Medium
55,Labor Relations,Multivariate,Other/Unknown,"Categorical, Integer, Real",57,16,1988,Small
57,Lenses,Multivariate,Classification,Categorical,24,4,1990,Small
58,Letter Recognition,Multivariate,Classification,Integer,20000,16,1991,Extra Large
59,Liver Disorders,Multivariate,Other/Unknown,"Categorical, Integer, Real",345,7,1990,Medium
61,Lung Cancer,Multivariate,Classification,Integer,32,56,1992,Small
62,Lymphography,Multivariate,Classification,Categorical,148,18,1988,Medium
63,Mechanical Analysis,Multivariate,Classification,"Categorical, Integer, Real",209,8,1990,Medium
64,Meta-data,Multivariate,Classification,"Categorical, Integer, Real",528,22,1996,Medium
66,Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,106,58,1990,Medium
67,Molecular Biology (Protein Secondary Structure),Sequential,Classification,Categorical,128,,,Medium
68,Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,3190,61,1992,Large
69,MONK's Problems,Multivariate,Classification,Categorical,432,7,1992,Medium
70,Moral Reasoner,Domain-Theory,Other/Unknown,,202,,1994,Medium
71,Multiple Features,Multivariate,Classification,"Integer, Real",2000,649,,Large
72,Mushroom,Multivariate,Classification,Categorical,8124,22,1987,Large
73,Musk (Version 1),Multivariate,Classification,Integer,476,168,1994,Medium
74,Musk (Version 2),Multivariate,Classification,Integer,6598,168,1994,Large
75,Nursery,Multivariate,Classification,Categorical,12960,8,1997,Extra Large
77,Page Blocks Classification,Multivariate,Classification,"Integer, Real",5473,10,1995,Large
78,Optical Recognition of Handwritten Digits,Multivariate,Classification,Integer,5620,64,1998,Large
79,Pen-Based Recognition of Handwritten Digits,Multivariate,Classification,Integer,10992,16,1998,Extra Large
80,Post-Operative Patient,Multivariate,Classification,"Categorical, Integer",90,8,1993,Small
81,Primary Tumor,Multivariate,Classification,Categorical,339,17,1988,Medium
85,Servo,Multivariate,Regression,"Categorical, Integer",167,4,1993,Medium
86,Shuttle Landing Control,Multivariate,Classification,Categorical,15,6,1988,Small
87,Solar Flare,Multivariate,Regression,Categorical,1389,10,1989,Large
88,Soybean (Large),Multivariate,Classification,Categorical,307,35,1988,Medium
89,Soybean (Small),Multivariate,Classification,Categorical,47,35,1987,Small
90,Challenger USA Space Shuttle O-Ring,Multivariate,Regression,Integer,23,4,1993,Small
91,Low Resolution Spectrometer,Multivariate,Classification,"Integer, Real",531,102,1988,Medium
92,Spambase,Multivariate,Classification,"Integer, Real",4601,57,1999,Large
93,SPECT Heart,Multivariate,Classification,Categorical,267,22,2001,Medium
94,SPECTF Heart,Multivariate,Classification,Integer,267,44,2001,Medium
95,Sponge,Multivariate,Clustering,"Categorical, Integer",76,45,,Small
97,Student Loan Relational,Domain-Theory,Other/Unknown,,1000,,1993,Medium
98,Teaching Assistant Evaluation,Multivariate,Classification,"Categorical, Integer",151,5,1997,Medium
99,Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958,9,1991,Medium
100,Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",7200,21,1987,Large
101,Trains,Multivariate,Classification,Categorical,10,32,1994,Small
102,University,Multivariate,Classification,"Categorical, Integer",285,17,1988,Medium
103,Congressional Voting Records,Multivariate,Classification,Categorical,435,16,1987,Medium
104,Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527,38,1993,Medium
105,Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000,21,1988,Large
106,Waveform Database Generator (Version 2),"Multivariate, Data-Generator",Classification,Real,5000,40,1988,Large
107,Wine,Multivariate,Classification,"Integer, Real",178,13,1991,Medium
108,Yeast,Multivariate,Classification,Real,1484,8,1996,Large
109,Zoo,Multivariate,Classification,"Categorical, Integer",101,17,1990,Medium
111,Twenty Newsgroups,Text,Other/Unknown,,20000,,1999,Extra Large
112,Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,15,1999,Large
113,Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,22,2002,Large
114,US Census Data (1990),Multivariate,Clustering,Categorical,2458285,68,,Extra Large
115,Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285,40,2000,Extra Large
116,Coil 1999 Competition Data,Multivariate,Other/Unknown,"Categorical, Real",340,17,1999,Medium
117,Corel Image Features,Multivariate,Other/Unknown,Real,68040,89,1999,Extra Large
119,EEG Database,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer, Real",122,4,1999,Medium
120,El Nino,Spatio-temporal,Other/Unknown,"Integer, Real",178080,12,1999,Extra Large
121,Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender Systems,Categorical,50672,,2000,Extra Large
122,CMU Face Images,Image,Classification,Integer,640,,1999,Medium
123,Insurance Company Benchmark (COIL 2000),Multivariate,Regression,"Categorical, Integer",9000,86,2000,Large
124,Internet Usage Data,Multivariate,Other/Unknown,"Categorical, Integer",10104,72,1999,Extra Large
125,IPUMS Census Database,Multivariate,Other/Unknown,"Categorical, Integer",256932,61,1999,Extra Large
126,Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640,12,,Medium
127,KDD Cup 1998 Data,Multivariate,Regression,"Categorical, Integer",191779,481,1998,Extra Large
128,KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,42,1999,Extra Large
130,Movie,"Multivariate, Relational",Other/Unknown,,10000,,1999,Large
131,MSNBC.com Anonymous Web Data,Sequential,Other/Unknown,Categorical,989818,,,Extra Large
132,NSF Research Award Abstracts 1990-2003,Text,Other/Unknown,,129000,,2003,Extra Large
134,Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series",Other/Unknown,,100000,,1999,Extra Large
135,Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578,5,1997,Extra Large
136,Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463,90,1999,Medium
137,Synthetic Control Chart Time Series,Time-Series,Clustering,Real,600,,1999,Medium
138,Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332,5,1998,Medium
141,Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690,14,,Medium
142,Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1000,20,1994,Medium
143,Statlog (Heart),Multivariate,Classification,"Categorical, Real",270,13,,Medium
144,Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435,36,1993,Large
145,Statlog (Image Segmentation),Multivariate,Classification,Real,2310,19,1990,Large
146,Statlog (Shuttle),Multivariate,Classification,Integer,58000,9,,Extra Large
147,Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18,,Medium
148,Connectionist Bench (Nettalk Corpus),Multivariate,Other/Unknown,Categorical,20008,4,,Extra Large
149,"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208,60,,Medium
150,Connectionist Bench (Vowel Recognition - Deterding Data),,Classification,Real,528,10,,Medium
153,Cloud,Multivariate,Other/Unknown,Real,1024,10,1989,Large
154,CalIt2 Building People Counts,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer",10080,4,2006,Extra Large
155,Dodgers Loop Sensor,"Multivariate, Time-Series",Other/Unknown,"Categorical, Integer",50400,3,2006,Extra Large
156,Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010,11,2007,Extra Large
157,MAGIC Gamma Telescope,Multivariate,Classification,Real,19020,11,2007,Extra Large
158,UJI Pen Characters,"Multivariate, Sequential",Classification,Integer,1364,,2007,Large
159,Mammographic Mass,Multivariate,Classification,Integer,961,6,2007,Medium
160,Forest Fires,Multivariate,Regression,Real,517,13,2008,Medium
161,Reuters Transcribed Subset,Text,Classification,,200,,2008,Medium
162,Bag of Words,Text,Clustering,Integer,8000000,100000,2008,Extra Large
163,Concrete Compressive Strength,Multivariate,Regression,Real,1030,9,2007,Large
164,Hill-Valley,Sequential,Classification,Real,606,101,2008,Medium
165,Arcene,Multivariate,Classification,Real,900,10000,2008,Medium
166,Dexter,Multivariate,Classification,Integer,2600,20000,2008,Large
167,Dorothea,Multivariate,Classification,Integer,1950,100000,2008,Large
168,Gisette,Multivariate,Classification,Integer,13500,5000,2008,Extra Large
169,Madelon,Multivariate,Classification,Real,4400,500,2008,Large
170,Ozone Level Detection,"Multivariate, Sequential, Time-Series",Classification,Real,2536,73,2008,Large
171,Abscisic Acid Signaling Network,Multivariate,Causal Discovery,Integer,300,43,2008,Medium
172,Parkinsons,Multivariate,Classification,Real,197,23,2008,Medium
173,Character Trajectories,Time-Series,Clustering,Real,2858,3,2008,Large
174,Blood Transfusion Service Center,Multivariate,Classification,Real,748,5,2008,Medium
175,UJI Pen Characters (Version 2),"Multivariate, Sequential",Classification,Integer,11640,,2009,Extra Large
176,Semeion Handwritten Digit,Multivariate,Classification,Integer,1593,256,2008,Large
177,SECOM,Multivariate,Causal Discovery,Real,1567,591,2008,Large
178,Plants,Multivariate,Clustering,Categorical,22632,70,2008,Extra Large
179,Libras Movement,"Multivariate, Sequential",Clustering,Real,360,91,2009,Medium
180,Concrete Slump Test,Multivariate,Regression,Real,103,10,2009,Medium
181,Communities and Crime,Multivariate,Regression,Real,1994,128,2009,Large
182,Acute Inflammations,Multivariate,Classification,"Categorical, Integer",120,6,2009,Medium
183,Wine Quality,Multivariate,Regression,Real,4898,12,2009,Large
184,URL Reputation,"Multivariate, Time-Series",Classification,"Integer, Real",2396130,3231961,2009,Extra Large
185,p53 Mutants,Multivariate,Classification,Real,16772,5409,2010,Extra Large
186,Parkinsons Telemonitoring,Multivariate,Regression,"Integer, Real",5875,26,2009,Large
187,Demospongiae,Multivariate,Classification,Integer,503,,2010,Medium
188,Opinosis Opinion ⁄ Review,Text,Other/Unknown,,51,,2010,Small
189,Breast Tissue,Multivariate,Classification,Real,106,10,2010,Medium
190,Cardiotocography,Multivariate,Classification,Real,2126,23,2010,Large
191,Wall-Following Robot Navigation Data,"Multivariate, Sequential",Classification,Real,5456,24,2010,Large
192,Spoken Arabic Digit,"Multivariate, Time-Series",Classification,Real,8800,13,2010,Large
193,Localization Data for Person Activity,"Univariate, Sequential, Time-Series",Classification,Real,164860,8,2010,Extra Large
195,Steel Plates Faults,Multivariate,Classification,"Integer, Real",1941,27,2010,Large
196,MiniBooNE particle identification,Multivariate,Classification,Real,130065,50,2010,Extra Large
197,YearPredictionMSD,Multivariate,Regression,Real,515345,90,2011,Extra Large
198,PEMS-SF,"Multivariate, Time-Series",Classification,Real,440,138672,2011,Medium
200,Relative location of CT slices on axial axis,Domain-Theory,Regression,Real,53500,386,2011,Extra Large
201,Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential",Classification,Integer,8235,,2011,Large
203,Record Linkage Comparison Patterns,Multivariate,Classification,Real,5749132,12,2011,Extra Large
204,Communities and Crime Unnormalized,Multivariate,Regression,Real,2215,147,2011,Large
205,Vertebral Column,Multivariate,Classification,Real,310,6,2011,Medium
206,EMG Physical Action Data Set,Time-Series,Classification,Real,10000,8,2011,Large
207,Vicon Physical Action Data Set,Time-Series,Classification,Real,3000,27,2011,Large
208,Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory",Classification,Real,1500,10000,2011,Large
209,Amazon Access Samples,"Time-Series, Domain-Theory",Clustering,,30000,20000,2011,Extra Large
210,Reuter_50_50,"Multivariate, Text, Domain-Theory",Clustering,Real,2500,10000,2011,Large
211,Farm Ads,Text,Classification,,4143,54877,2011,Large
212,DBWorld e-mails,Text,Classification,,64,4702,2011,Small
213,KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text",Clustering,"Integer, Real",53414,24,2011,Extra Large
214,KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text",Clustering,"Integer, Real",65554,29,2011,Extra Large
215,Bank Marketing,Multivariate,Classification,Real,45211,17,2012,Extra Large
216,YouTube Comedy Slam Preference Data,Text,Classification,,1138562,3,2012,Extra Large
217,Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,13910,128,2012,Extra Large
218,ILPD (Indian Liver Patient Dataset),Multivariate,Classification,"Integer, Real",583,10,2012,Medium
219,OPPORTUNITY Activity Recognition,"Multivariate, Time-Series",Classification,Real,2551,242,2012,Large
220,Nomao,Univariate,Classification,Real,34465,120,2012,Extra Large
221,SMS Spam Collection,"Multivariate, Text, Domain-Theory",Clustering,Real,5574,,2012,Large
222,Skin Segmentation,Univariate,Classification,Real,245057,4,2012,Extra Large
223,Planning Relax,Univariate,Classification,Real,182,13,2012,Medium
224,PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series",Classification,Real,3850505,52,2012,Extra Large
225,Restaurant & consumer data,Multivariate,Other/Unknown,,138,47,2012,Medium
226,CNAE-9,"Multivariate, Text",Classification,Integer,1080,857,2012,Large
227,Individual household electric power consumption,"Multivariate, Time-Series",Clustering,Real,2075259,9,2012,Extra Large
228,seeds,Multivariate,Clustering,Real,210,7,2012,Medium
229,Northix,"Multivariate, Univariate, Text",Classification,"Integer, Real",115,200,2012,Medium
230,QtyT40I10D100K,Sequential,Other/Unknown,Integer,3960456,4,2012,Extra Large
232,Human Activity Recognition Using Smartphones,"Multivariate, Time-Series",Clustering,,10299,561,2012,Extra Large
233,One-hundred plant species leaves data set,,Classification,Real,1600,64,2012,Large
234,Energy efficiency,Multivariate,Regression,"Integer, Real",768,8,2012,Medium
235,Yacht Hydrodynamics,Multivariate,Regression,Real,308,7,2013,Medium
236,Fertility,Multivariate,Regression,Real,100,10,2013,Small
237,Daphnet Freezing of Gait,"Multivariate, Time-Series",Classification,Real,237,9,2013,Medium
238,"3D Road Network (North Jutland, Denmark)","Sequential, Text",Clustering,Real,434874,4,2013,Extra Large
239,ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series",Regression,Real,536,8,2013,Medium
240,Buzz in social media,"Time-Series, Multivariate",Regression,"Integer, Real",140000,77,2013,Extra Large
241,First-order theorem proving,Multivariate,Classification,Real,6118,51,2013,Large
242,Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential,Classification,"Integer, Real",165632,18,2013,Extra Large
243,Gas sensor arrays in open sampling settings,"Multivariate, Time-Series",Classification,Real,18000,1950000,2013,Extra Large
244,Climate Model Simulation Crashes,Multivariate,Classification,Real,540,18,2013,Medium
245,MicroMass,Multivariate,Classification,Real,931,1300,2013,Medium
246,QSAR biodegradation,Multivariate,Classification,"Integer, Real",1055,41,2013,Large
247,BLOGGER,Multivariate,Classification,,100,6,2013,Small
248,Daily and Sports Activities,"Multivariate, Time-Series",Clustering,Real,9120,5625,2013,Large
249,User Knowledge Modeling,Multivariate,Clustering,Integer,403,5,2013,Medium
250,"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection",Multivariate,Classification,Real,111740,,2013,Extra Large
251,NYSK,"Multivariate, Sequential, Text",Clustering,,10421,7,2013,Extra Large
252,Turkiye Student Evaluation,Multivariate,Clustering,,5820,33,2013,Large
253,ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),Multivariate,Classification,Real,403,5,2013,Medium
254,EEG Eye State,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",14980,15,2013,Extra Large
255,Physicochemical Properties of Protein Tertiary Structure,Multivariate,Regression,Real,45730,9,2013,Extra Large
256,seismic-bumps,Multivariate,Classification,Real,2584,19,2013,Large
257,banknote authentication,Multivariate,Classification,Real,1372,5,2013,Large
258,"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder Problem: Pat",Domain-Theory,Classification,Integer,306,5,2013,Medium
259,YouTube Multiview Video Games Dataset,"Multivariate, Text",Clustering,"Integer, Real",120000,1000000,2013,Extra Large
260,Gas Sensor Array Drift Dataset at Different Concentrations,"Multivariate, Time-Series",Clustering,Real,13910,129,2013,Extra Large
261,Activities of Daily Living (ADLs) Recognition Using Binary Sensors,"Multivariate, Sequential, Time-Series",Clustering,,2747,,2013,Large
262,SkillCraft1 Master Table Dataset,Multivariate,Regression,"Integer, Real",3395,20,2013,Large
263,Weight Lifting Exercises monitored with Inertial Measurement Units,Multivariate,Classification,Real,39242,152,2013,Extra Large
264,SML2010,"Multivariate, Sequential, Time-Series, Text",Regression,Real,4137,24,2014,Large
265,Bike Sharing Dataset,Univariate,Regression,"Integer, Real",17389,16,2013,Extra Large
266,Predict keywords activities in a online social media,"Multivariate, Sequential, Time-Series",Other/Unknown,"Integer, Real",51,35,2013,Small
267,Thoracic Surgery Data,Multivariate,Classification,"Integer, Real",470,17,2013,Medium
268,EMG dataset in Lower Limb,"Multivariate, Time-Series",Other/Unknown,Real,132,5,2014,Medium
269,SUSY,,Classification,Real,5000000,18,2014,Extra Large
270,HIGGS,,Classification,Real,11000000,28,2014,Extra Large
271,Qualitative_Bankruptcy,Multivariate,Classification,,250,7,2014,Medium
272,LSVT Voice Rehabilitation,Multivariate,Classification,Real,126,309,2014,Medium
274,Wilt,Multivariate,Classification,,4889,6,2014,Large
277,Leaf,Multivariate,Classification,Real,340,16,2014,Medium
278,Dresses_Attribute_Sales,Text,Clustering,,501,13,2014,Medium
279,Tamilnadu Electricity Board Hourly Readings,Multivariate,Clustering,Real,45781,5,2013,Extra Large
280,Airfoil Self-Noise,Multivariate,Regression,Real,1503,6,2014,Large
281,Wholesale customers,Multivariate,Clustering,Integer,440,8,2014,Medium
282,Twitter Data set for Arabic Sentiment Analysis,Text,Classification,,2000,2,2014,Large
283,Combined Cycle Power Plant,Multivariate,Regression,Real,9568,4,2014,Large
284,Urban Land Cover,Multivariate,Classification,,168,148,2014,Medium
285,Diabetes 130-US hospitals for years 1999-2008,Multivariate,Clustering,Integer,100000,55,2014,Extra Large
286,Bach Choral Harmony,Sequential,Classification,,5665,17,2014,Large
287,StoneFlakes,Multivariate,Clustering,Real,79,8,2014,Small
288,Tennis Major Tournament Match Statistics,Multivariate,Clustering,"Integer, Real",127,42,2014,Medium
289,Parkinson Speech Dataset with Multiple Types of Sound Recordings,Multivariate,Regression,"Integer, Real",1040,26,2014,Large
290,Gesture Phase Segmentation,"Multivariate, Sequential, Time-Series",Clustering,Real,9900,50,2014,Large
291,Perfume Data,"Univariate, Domain-Theory",Clustering,Integer,560,2,2014,Medium
292,BlogFeedback,Multivariate,Regression,"Integer, Real",60021,281,2014,Extra Large
293,REALDISP Activity Recognition Dataset,"Multivariate, Time-Series",Classification,Real,1419,120,2014,Large
294,Newspaper and magazine images segmentation dataset,,Classification,,101,,2014,Medium
295,AAAI 2014 Accepted Papers,Multivariate,Clustering,,399,6,2014,Medium
296,Gas sensor array under flow modulation,"Multivariate, Time-Series",Regression,Real,58,120432,2014,Small
297,Gas sensor array exposed to turbulent gas mixtures,"Multivariate, Time-Series",Regression,Real,180,150000,2014,Medium
298,UJIIndoorLoc,Multivariate,Regression,"Integer, Real",21048,529,2014,Extra Large
300,Dow Jones Index,Time-Series,Clustering,"Integer, Real",750,16,2014,Medium
301,sEMG for Basic Hand movements,Time-Series,Classification,Real,3000,2500,2014,Large
302,AAAI 2013 Accepted Papers,Multivariate,Clustering,,150,5,2014,Medium
303,Geographical Original of Music,Multivariate,Regression,Real,1059,68,2014,Large
304,Condition Based Maintenance of Naval Propulsion Plants,Multivariate,Regression,Real,11934,16,2014,Extra Large
305,Grammatical Facial Expressions,"Multivariate, Sequential",Clustering,Real,27965,100,2014,Extra Large
306,NoisyOffice,Multivariate,Regression,Real,216,216,2015,Medium
307,MHEALTH Dataset,"Multivariate, Time-Series",Classification,Real,120,23,2014,Medium
308,Student Performance,Multivariate,Regression,Integer,649,33,2014,Medium
309,ElectricityLoadDiagrams20112014,Time-Series,Clustering,Real,370,140256,2015,Medium
310,Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series",Regression,Real,4178504,19,2015,Extra Large
311,microblogPCU,"Multivariate, Univariate, Sequential, Text",Causal Discovery,"Integer, Real",221579,20,2015,Extra Large
312,Firm-Teacher_Clave-Direction_Classification,Multivariate,Classification,,10800,20,2015,Extra Large
313,Dataset for Sensorless Drive Diagnosis,Multivariate,Classification,Real,58509,49,2015,Extra Large
314,TV News Channel Commercial Detection Dataset,Multivariate,Clustering,Real,129685,12,2015,Extra Large
315,Phishing Websites,,Classification,Integer,2456,30,2015,Large
316,Greenhouse Gas Observing Network,"Multivariate, Time-Series",Regression,Real,2921,5232,2015,Large
317,Diabetic Retinopathy Debrecen Data Set,Multivariate,Classification,"Integer, Real",1151,20,2014,Large
318,HIV-1 protease cleavage,Multivariate,Classification,Categorical,6590,1,2015,Large
319,Sentiment Labelled Sentences,Text,Classification,,3000,,2015,Large
320,Online News Popularity,Multivariate,Regression,"Integer, Real",39797,61,2015,Extra Large
321,Forest type mapping,Multivariate,Classification,,326,27,2015,Medium
322,wiki4HE,Multivariate,Clustering,,913,53,2015,Medium
323,Online Video Characteristics and Transcoding Time Dataset,Multivariate,Regression,"Integer, Real",168286,11,2015,Extra Large
324,Chronic_Kidney_Disease,Multivariate,Classification,Real,400,25,2015,Medium
325,Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series",Classification,Real,314080,0,2015,Extra Large
326,Folio,Multivariate,Clustering,,637,20,2015,Medium
327,"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory",Clustering,Real,1710671,9,2015,Extra Large
328,Cuff-Less Blood Pressure Estimation,Multivariate,Regression,Real,12000,3,2015,Extra Large
329,Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series",Classification,Real,10929,561,2015,Extra Large
330,Mice Protein Expression,Multivariate,Clustering,Real,1080,82,2015,Large
331,UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series",Clustering,"Integer, Real",40000,13,2015,Extra Large
332,Heterogeneity Activity Recognition,"Multivariate, Time-Series",Clustering,Real,43930257,16,2015,Extra Large
