,Name,Data Types,Default Task,Attribute Types,Number of Instances,Number of Attributes,Year,Sample size
333,Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series",Clustering,Integer,230318,13,2015,Extra Large
334,HEPMASS,Multivariate,Classification,Real,10500000,28,2016,Extra Large
335,Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series",Classification,Real,13197,4,2016,Extra Large
337,default of credit card clients,Multivariate,Classification,"Integer, Real",30000,24,2016,Extra Large
338,Mesotheliomaâs disease data set,Multivariate,Classification,Real,324,34,2016,Medium
339,Online Retail,"Multivariate, Sequential, Time-Series",Clustering,"Integer, Real",541909,8,2015,Extra Large
340,SIFT10M,Multivariate,Causal Discovery,Integer,11164866,128,2016,Extra Large
341,GPS Trajectories,Multivariate,Regression,Real,163,15,2016,Medium
342,Detect Malacious Executable(AntiVirus),Multivariate,Classification,Real,373,513,2016,Medium
343,Occupancy Detection,"Multivariate, Time-Series",Classification,Real,20560,7,2016,Extra Large
344,Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinsonâs Disease,Multivariate,Clustering,Real,40,7,2016,Small
345,News Aggregator,Multivariate,Clustering,,422937,5,2016,Extra Large
346,Air Quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016,Large
347,Twin gas sensor arrays,"Multivariate, Time-Series, Domain-Theory",Regression,Real,640,480000,2016,Medium
348,Gas sensors for home activity monitoring,"Multivariate, Time-Series",Classification,Real,919438,11,2016,Extra Large
349,Facebook Comment Volume Dataset,Multivariate,Regression,"Integer, Real",40949,54,2016,Extra Large
350,Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL),Time-Series,Classification,Real,5744,561,2016,Large
351,Polish companies bankruptcy data,Multivariate,Classification,Real,10503,64,2016,Extra Large
352,Activity Recognition system based on Multisensor data fusion (AReM),"Multivariate, Sequential, Time-Series",Classification,Real,42240,6,2016,Extra Large
353,Dota2 Games Results,Multivariate,Classification,,102944,116,2016,Extra Large
354,Facebook metrics,Multivariate,Regression,Integer,500,19,2016,Medium
355,UbiqLog (smartphone lifelogging),Multivariate,Causal Discovery,,9782222,,2016,Extra Large
356,NIPS Conference Papers 1987-2015,Text,Clustering,Integer,11463,5812,2016,Extra Large
357,HTRU2,Multivariate,Clustering,Real,17898,9,2017,Extra Large
358,Drug consumption (quantified),Multivariate,Classification,Real,1885,32,2016,Large
359,Appliances energy prediction,"Multivariate, Time-Series",Regression,Real,19735,29,2017,Extra Large
360,Miskolc IIS Hybrid IPS,Text,Clustering,Integer,1540,67,2016,Large
361,KDC-4007 dataset Collection,"Multivariate, Text",Regression,Integer,4007,,2017,Large
362,Geo-Magnetic field and WLAN dataset for indoor localisation from wristband and smartphone,"Multivariate, Sequential, Time-Series",Clustering,"Integer, Real",153540,25,2017,Extra Large
363,DrivFace,Multivariate,Clustering,Real,606,6400,2016,Medium
364,Website Phishing,Multivariate,Classification,Integer,1353,10,2016,Large
365,YouTube Spam Collection,Text,Classification,,1956,5,2017,Large
366,Beijing PM2.5 Data,"Multivariate, Time-Series",Regression,"Integer, Real",43824,13,2017,Extra Large
367,Cargo 2000 Freight Tracking and Tracing,"Multivariate, Sequential",Regression,Integer,3942,98,2016,Large
368,Cervical cancer (Risk Factors),Multivariate,Classification,"Integer, Real",858,36,2017,Medium
369,Quality Assessment of Digital Colposcopies,Multivariate,Classification,Real,287,69,2017,Medium
370,KASANDR,Multivariate,Causal Discovery,Integer,17764280,2158859,2017,Extra Large
371,FMA: A Dataset For Music Analysis,"Multivariate, Time-Series",Clustering,Real,106574,518,2017,Extra Large
372,Air quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016,Large
373,Epileptic Seizure Recognition,"Multivariate, Time-Series",Clustering,"Integer, Real",11500,179,2017,Extra Large
374,Devanagari Handwritten Character Dataset,,Classification,Integer,92000,,2016,Extra Large
375,Stock portfolio performance,Multivariate,Regression,Real,315,12,2016,Medium
376,MoCap Hand Postures,Multivariate,Clustering,"Integer, Real",78095,38,2016,Extra Large
377,Early biomarkers of Parkinsons disease based on natural connected speech,Multivariate,Regression,"Integer, Real",130,65,2017,Medium
378,Data for Software Engineering Teamwork Assessment in Education Setting,"Sequential, Time-Series",Classification,"Integer, Real",74,102,2017,Small
379,PM2.5 Data of Five Chinese Cities,"Multivariate, Time-Series",Regression,"Integer, Real",52854,86,2017,Extra Large
380,Parkinson Disease Spiral Drawings Using Digitized Graphics Tablet,Multivariate,Clustering,Integer,77,7,2017,Small
381,Sales_Transactions_Dataset_Weekly,"Multivariate, Time-Series",Clustering,"Integer, Real",811,53,2017,Medium
382,Las Vegas Strip,,Regression,Integer,504,20,2017,Medium
383,Eco-hotel,Text,Other/Unknown,,401,1,2017,Medium
384,MEU-Mobile KSD,Multivariate,Classification,"Integer, Real",2856,71,2016,Large
385,Crowdsourced Mapping,Multivariate,Classification,,10546,29,2016,Extra Large
386,gene expression cancer RNA-Seq,Multivariate,Clustering,Real,801,20531,2016,Medium
387,"Hybrid Indoor Positioning Dataset from WiFi RSSI, Bluetooth and magnetometer","Multivariate, Sequential, Time-Series",Classification,Real,1540,65,2016,Large
388,chestnut â LARVIC,,Clustering,,1451,3,2017,Large
389,Burst Header Packet (BHP) flooding attack on Optical Burst Switching (OBS) Network,Text,Classification,Integer,1075,22,2017,Large
390,Motion Capture Hand Postures,Multivariate,Clustering,Real,78095,38,2017,Extra Large
391,Anuran Calls (MFCCs),Multivariate,Clustering,Real,7195,22,2017,Large
392,TTC-3600: Benchmark dataset for Turkish text categorization,Text,Clustering,Integer,3600,4814,2017,Large
393,Gastrointestinal Lesions in Regular Colonoscopy,Multivariate,Classification,Real,76,698,2016,Small
394,Daily Demand Forecasting Orders,Time-Series,Regression,Integer,60,13,2017,Small
395,Paper Reviews,Text,Regression,Integer,405,10,2017,Medium
396,extention of Z-Alizadeh sani dataset,,Classification,"Integer, Real",303,59,2017,Medium
397,Z-Alizadeh Sani,,Classification,"Integer, Real",303,56,2017,Medium
398,Dynamic Features of VirusShare Executables,"Multivariate, Time-Series",Regression,Integer,107888,482,2017,Extra Large
399,IDA2016Challenge,Multivariate,Classification,Integer,76000,171,2017,Extra Large
400,DSRC Vehicle Communications,"Sequential, Text",Clustering,Real,10000,5,2017,Large
401,Mturk User-Perceived Clusters over Images,"Multivariate, Text",Clustering,Integer,180,500,2016,Medium
402,Character Font Images,Multivariate,Classification,"Integer, Real",745000,411,2016,Extra Large
403,DeliciousMIL: A Data Set for Multi-Label Multi-Instance Learning with Instance Labels,Text,Classification,Integer,12234,8519,2016,Extra Large
404,Autistic Spectrum Disorder Screening Data for Children,Multivariate,Classification,Integer,292,21,2017,Medium
405,Autistic Spectrum Disorder Screening Data for Adolescent,Multivariate,Classification,Integer,104,21,2017,Medium
406,APS Failure at Scania Trucks,Multivariate,Classification,"Integer, Real",60000,171,2017,Extra Large
407,Wireless Indoor Localization,Multivariate,Classification,Real,2000,7,2017,Large
408,HCC Survival,Multivariate,Classification,"Integer, Real",165,49,2017,Medium
409,CSM (Conventional and Social Media Movies) Dataset 2014 and 2015,Multivariate,Regression,Integer,217,12,2017,Medium
410,University of Tehran Question Dataset 2016 (UTQD.2016),Text,Classification,,1175,3,2017,Large
411,Autism Screening Adult,,Classification,Integer,704,21,2017,Medium
412,Activity recognition with healthy older people using a batteryless wearable sensor,Sequential,Classification,Real,75128,9,2016,Extra Large
413,Immunotherapy Dataset,Univariate,Classification,"Integer, Real",90,8,2018,Small
414,Cryotherapy Dataset,Univariate,Classification,"Integer, Real",90,7,2018,Small
415,OCT data & Color Fundus Images of Left & Right Eyes,Multivariate,Classification,Real,50,2,2016,Small
416,Discrete Tone Image Dataset,Multivariate,Classification,,71,11,2018,Small
417,News Popularity in Multiple Social Media Platforms,"Multivariate, Time-Series, Text",Regression,"Integer, Real",93239,11,2018,Extra Large
418,Ultrasonic flowmeter diagnostics,Multivariate,Classification,Real,540,173,2018,Medium
419,ICMLA 2014 Accepted Papers Data Set,Multivariate,Clustering,,105,5,2018,Medium
420,BLE RSSI Dataset for Indoor localization and Navigation,"Multivariate, Sequential, Time-Series",Clustering,Integer,6611,15,2018,Large
421,Container Crane Controller Data Set,"Univariate, Domain-Theory",Regression,Real,15,3,2018,Small
422,Residential Building Data Set,Multivariate,Regression,Real,372,105,2018,Medium
423,Health News in Twitter,Text,Clustering,Real,58000,25000,2018,Extra Large
424,chipseq,Sequential,Classification,Integer,4960,,2018,Large
425,SGEMM GPU kernel performance,Multivariate,Regression,Integer,241600,18,2018,Extra Large
426,Repeat Consumption Matrices,Multivariate,Clustering,Real,130000,21000,2018,Extra Large
427,detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential",Clustering,Real,7062606,115,2018,Extra Large
428,Absenteeism at work,"Multivariate, Time-Series",Clustering,"Integer, Real",740,21,2018,Medium
429,SCADI,Multivariate,Clustering,,70,206,2018,Small
430,Condition monitoring of hydraulic systems,"Multivariate, Time-Series",Regression,Real,2205,43680,2018,Large
431,Carbon Nanotubes,Univariate,Regression,Real,10721,8,2018,Extra Large
432,Optical Interconnection Network,Multivariate,Regression,"Integer, Real",640,10,2018,Medium
433,Sports articles for objectivity analysis,"Multivariate, Text",Classification,Integer,1000,59,2018,Medium
434,Breast Cancer Coimbra,Multivariate,Classification,Integer,116,10,2018,Medium
435,GNFUV Unmanned Surface Vehicles Sensor Data,"Multivariate, Time-Series",Regression,Real,1672,5,2018,Large
436,Dishonest Internet users Dataset,Multivariate,Clustering,,322,5,2018,Medium
437,Victorian Era Authorship Attribution,Text,Classification,,93600,1000,2018,Extra Large
438,Simulated Falls and Daily Living Activities Data Set,Time-Series,Classification,Integer,3060,138,2018,Large
439,Multimodal Damage Identification for Humanitarian Computing,"Multivariate, Text",Classification,Integer,5879,,2018,Large
440,EEG Steady-State Visual Evoked Potential Signals,"Multivariate, Time-Series",Regression,Integer,9200,16,2018,Large
441,Roman Urdu Data Set,Text,Classification,,20000,2,2018,Extra Large
442,Avila,Multivariate,Classification,Real,20867,10,2018,Extra Large
444,Drug Review Dataset (Druglib.com),"Multivariate, Text",Clustering,Integer,4143,8,2018,Large
445,Drug Review Dataset (Drugs.com),"Multivariate, Text",Clustering,Integer,215063,6,2018,Extra Large
446,Physical Unclonable Functions,Multivariate,Classification,Integer,6000000,129,2018,Extra Large
447,Superconductivty Data,Multivariate,Regression,Real,21263,81,2018,Extra Large
448,WESAD (Wearable Stress and Affect Detection),"Multivariate, Time-Series",Regression,Real,63000000,12,2018,Extra Large
449,GNFUV Unmanned Surface Vehicles Sensor Data Set 2,"Multivariate, Sequential, Time-Series",Regression,Real,10190,6,2018,Extra Large
450,Student Academics Performance,Multivariate,Classification,,300,22,2018,Medium
451,Online Shoppers Purchasing Intention Dataset,Multivariate,Clustering,"Integer, Real",12330,18,2018,Extra Large
452,PMU-UD,Univariate,Classification,,5180,9,2018,Large
453,Parkinson's Disease Classification,Multivariate,Classification,"Integer, Real",756,754,2018,Medium
454,Electrical Grid Stability Simulated Data,Multivariate,Regression,Real,10000,14,2018,Large
455,Caesarian Section Classification Dataset,Univariate,Classification,Integer,80,5,2018,Small
456,BAUM-1,Time-Series,Classification,,1184,,2018,Large
457,BAUM-2,Time-Series,Classification,,1047,,2018,Large
458,Audit Data,Multivariate,Classification,Real,777,18,2018,Medium
459,BuddyMove Data Set,"Multivariate, Text",Clustering,Real,249,7,2018,Medium
460,Real estate valuation data set,Multivariate,Regression,"Integer, Real",414,7,2018,Medium
462,Somerville Happiness Survey,,Classification,Integer,143,7,2018,Medium
463,2.4 GHZ Indoor Channel Measurements,Multivariate,Classification,Real,7840,5,2018,Large
464,EMG data for gestures,Time-Series,Classification,Real,30000,6,2019,Extra Large
465,Parking Birmingham,"Multivariate, Univariate, Sequential, Time-Series",Clustering,Real,35717,4,2019,Extra Large
466,Behavior of the urban traffic of the city of Sao Paulo in Brazil,"Multivariate, Time-Series",Regression,"Integer, Real",135,18,2018,Medium
467,Travel Reviews,"Multivariate, Text",Clustering,Real,980,11,2018,Medium
468,Tarvel Review Ratings,"Multivariate, Text",Clustering,Real,5456,25,2018,Large
469,Rice Leaf Diseases,Multivariate,Classification,Integer,120,,2019,Medium
470,Gas sensor array temperature modulation,"Multivariate, Time-Series",Regression,Real,4095000,20,2019,Extra Large
471,Facebook Live Sellers in Thailand,Multivariate,Clustering,Integer,7051,12,2019,Large
472,Parkinson Dataset with replicated acoustic features,Multivariate,Classification,,240,46,2019,Medium
473,Metro Interstate Traffic Volume,"Multivariate, Sequential, Time-Series",Regression,"Integer, Real",48204,9,2019,Extra Large
474,Query Analytics Workloads Dataset,Multivariate,Clustering,Real,260000,8,2019,Extra Large
475,Wave Energy Converters,Multivariate,Regression,Real,288000,49,2019,Extra Large
476,PPG-DaLiA,"Multivariate, Time-Series",Regression,Real,8300000,11,2019,Extra Large
477,Alcohol QCM Sensor Dataset,Multivariate,Clustering,Real,125,8,2019,Medium
478,Divorce Predictors data set,"Multivariate, Univariate",Classification,Integer,170,54,2019,Medium
479,Incident management process enriched event log,"Multivariate, Sequential",Clustering,Integer,141712,36,2019,Extra Large
480,Opinion Corpus for Lebanese Arabic Reviews (OCLAR),Text,Classification,Integer,3916,3916,2019,Large
481,MEx,Time-Series,Clustering,Real,6262,710,2019,Large
482,Beijing Multi-Site Air-Quality Data,"Multivariate, Time-Series",Regression,"Integer, Real",420768,18,2019,Extra Large
483,Online Retail II,"Multivariate, Sequential, Time-Series, Text",Clustering,"Integer, Real",1067371,8,2019,Extra Large
484,Hepatitis C Virus (HCV) for Egyptian patients,Multivariate,Classification,"Integer, Real",1385,29,2019,Large
485,QSAR fish toxicity,Multivariate,Regression,Real,908,7,2019,Medium
486,QSAR aquatic toxicity,Multivariate,Regression,Real,546,9,2019,Medium
487,Human Activity Recognition from Continuous Ambient Sensor Data,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",13956534,37,2019,Extra Large
488,WISDM Smartphone and Smartwatch Activity and Biometrics Dataset,"Multivariate, Time-Series",Classification,Real,15630426,6,2019,Extra Large
489,QSAR oral toxicity,Multivariate,Classification,,8992,1024,2019,Large
490,QSAR androgen receptor,Multivariate,Classification,,1687,1024,2019,Large
491,QSAR Bioconcentration classes dataset,Multivariate,Regression,,779,14,2019,Medium
492,QSAR fish bioconcentration factor (BCF),Multivariate,Regression,"Integer, Real",1056,7,2019,Large
493,A study of Asian Religious and Biblical Texts,"Multivariate, Text",Clustering,Integer,590,8265,2019,Medium
494,Real-time Election Results: Portugal 2019,"Multivariate, Time-Series, Text",Regression,"Integer, Real",21643,29,2019,Extra Large
495,Bias correction of numerical prediction model temperature forecast,Multivariate,Regression,Real,7750,25,2020,Large
496,Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series",Regression,Real,14057567,3,2020,Extra Large
497,Kitsune Network Attack Dataset,"Multivariate, Sequential, Time-Series",Clustering,Real,27170754,115,2019,Extra Large
498,Shoulder Implant X-Ray Manufacturer Classification,Multivariate,Classification,Real,597,1,2020,Medium
499,Speaker Accent Recognition,Multivariate,Classification,Real,329,12,2020,Medium
500,Heart failure clinical records,Multivariate,Clustering,"Integer, Real",299,13,2020,Medium
501,Deepfakes: Medical Image Tamper Detection,Multivariate,Classification,Real,20000,200000,2020,Extra Large
502,selfBACK,Time-Series,Clustering,Real,26136,6,2020,Extra Large
503,South German Credit,Multivariate,Clustering,"Integer, Real",1000,21,2019,Medium
504,Exasens,Multivariate,Clustering,Integer,399,4,2020,Medium
505,Swarm Behaviour,Multivariate,Classification,Real,24017,2400,2020,Extra Large
506,Crop mapping using fused optical-radar data set,"Multivariate, Time-Series",Classification,Real,325834,175,2020,Extra Large
507,BitcoinHeistRansomwareAddressDataset,"Multivariate, Time-Series",Clustering,"Integer, Real",2916697,10,2020,Extra Large
508,Facebook Large Page-Page Network,Multivariate,Classification,,22470,4714,2020,Extra Large
509,Amphibians,Multivariate,Classification,"Integer, Real",189,23,2020,Medium
510,Early stage diabetes risk prediction dataset.,Multivariate,Classification,,520,17,2020,Medium
511,Turkish Spam V01,Text,Classification,,826,2,2019,Medium
512,Stock keeping units,Multivariate,Clustering,"Integer, Real",2279,9,2019,Large
513,Demand Forecasting for a store,Multivariate,Regression,Integer,28764,8,2019,Extra Large
514,Detect Malware Types,"Multivariate, Time-Series, Text",Classification,,7107,280,2019,Large
515,Wave Energy Converters,Multivariate,Regression,Real,288000,49,2019,Extra Large
516,Youtube cookery channels viewers comments in Hinglish,"Multivariate, Text",Classification,,9800,3,2019,Large
517,Pedestrian in Traffic Dataset,"Multivariate, Sequential, Time-Series",Regression,Real,4760,14,2019,Large
518,Cervical Cancer Behavior Risk,"Multivariate, Univariate",Clustering,Integer,72,19,2019,Small
519,Sattriya_Dance_Single_Hand_Gestures Dataset,Multivariate,Classification,,1450,,2019,Large
520,Divorce Predictors data set,"Multivariate, Univariate",Classification,Integer,170,54,2019,Medium
521,3W dataset,"Multivariate, Time-Series",Clustering,"Integer, Real",1984,8,2019,Large
522,Malware static and dynamic features VxHeaven and Virus Total,Multivariate,Classification,"Integer, Real",2955,1087,2019,Large
523,Internet Firewall Data,Multivariate,Classification,,65532,12,2019,Extra Large
524,User Profiling and Abusive Language Detection Dataset,,Classification,,65919,3,2019,Extra Large
525,Estimation of obesity levels based on eating habits and physical condition,Multivariate,Clustering,Integer,2111,17,2019,Large
526,Rice (Cammeo and Osmancik),Multivariate,Classification,Real,3810,8,2019,Large
527,Vehicle routing and scheduling problems,Multivariate,Clustering,"Integer, Real",18,9,2019,Small
528,Algerian Forest Fires Dataset,Multivariate,Regression,Real,244,12,2019,Medium
529,Breath Metabolomics,"Multivariate, Time-Series",Clustering,Real,104,1656,2019,Medium
530,Horton General Hospital,"Multivariate, Time-Series",Causal Discovery,Integer,139,6,2019,Medium
531,"UrbanGB, urban road accidents coordinates labelled by the urban center",Univariate,Clustering,Real,360177,2,2019,Extra Large
532,Gas Turbine CO and NOx Emission Data Set,Multivariate,Clustering,Real,36733,11,2019,Extra Large
533,Activity recognition using wearable physiological measurements,Multivariate,Classification,Real,4480,533,2019,Large
534,clickstream data for online shopping,"Multivariate, Sequential",Clustering,"Integer, Real",165474,14,2019,Extra Large
535,CNNpred: CNN-based stock market prediction using a diverse set of variables,"Sequential, Time-Series",Regression,Real,1985,84,2019,Large
536,Apartment for rent classified,Multivariate,Clustering,,10000,22,2019,Large
537,: Simulated Data set of Iraqi tourism places,Multivariate,Clustering,,232,16,2020,Medium
538,Nasarian CAD Dataset,Multivariate,Classification,,150,52,2020,Medium
539,Monolithic Columns in Troad and Mysia Region,Multivariate,Classification,Real,11,19,2020,Small
540,Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series",Regression,Real,14057567,3,2020,Extra Large
541,Seoul Bike Sharing Demand,Multivariate,Regression,"Integer, Real",8760,14,2020,Large
542,Person Classification Gait Data,Multivariate,Classification,Real,48,321,2020,Small
543,Shill Bidding Dataset,Multivariate,Clustering,,6321,13,2020,Large
544,Iranian Churn Dataset,Multivariate,Regression,Integer,3150,13,2020,Large
545,Unmanned Aerial Vehicle (UAV) Intrusion Detection,Multivariate,Classification,Real,17256,55,2020,Extra Large
546,Bone marrow transplant: children,Multivariate,Regression,"Integer, Real",187,39,2020,Medium
547,Exasens,Multivariate,Clustering,Integer,399,4,2020,Medium
548,COVID-19 Surveillance,Multivariate,Classification,,14,7,2020,Small
549,Refractive errors,Multivariate,Classification,Integer,467,79,2020,Medium
550,Shoulder Implant X-Ray Manufacturer Classification,Multivariate,Classification,Real,597,1,2020,Medium
551,CLINC150,Text,Classification,,23700,,2020,Extra Large
552,HCV data,Multivariate,Clustering,"Integer, Real",615,14,2020,Medium
553,Taiwanese Bankruptcy Prediction,Multivariate,Classification,Integer,6819,96,2020,Large
554,South German Credit (UPDATE),Multivariate,Clustering,"Integer, Real",1000,21,2020,Medium
556,Guitar Chords finger positions,Text,Classification,,2633,5,2020,Large
557,Russian Corpus of Biographical Texts,Text,Classification,,200,2,2020,Medium
558,Codon usage,Multivariate,Clustering,,13028,69,2020,Extra Large
559,Intelligent Media Accelerometer and Gyroscope (IM-AccGyro) Dataset,Time-Series,Classification,Real,800,9,2020,Medium
560,Myocardial infarction complications,Multivariate,Classification,Real,1700,124,2020,Large
561,Hungarian Chickenpox Cases,Time-Series,Regression,Real,521,20,2021,Medium
562,Simulated data for survival modelling,"Multivariate, Time-Series",Regression,"Integer, Real",120000,25,2018,Extra Large
563,Student Performance on an entrance examination,Multivariate,Classification,,666,11,2018,Medium
564,Chemical Composition of Ceramic Samples,Multivariate,Clustering,Real,88,19,2019,Small
565,Labeled Text Forum Threads Dataset,Text,Classification,Integer,200,9,2019,Medium
566,Stock keeping units,Multivariate,Clustering,"Integer, Real",2279,9,2019,Large
567,BLE RSSI dataset for Indoor localization,"Sequential, Time-Series",Classification,Integer,23570,5,2019,Extra Large
568,Basketball dataset,Time-Series,Classification,Integer,10000,7,2019,Large
569,GitHub MUSAE,Multivariate,Classification,,37700,4006,2019,Extra Large
570,Anticancer peptides,Sequential,Classification,,1850,2,2019,Large
571,Monolithic Columns in Troad and Mysia Region,Multivariate,Classification,Real,11,19,2020,Small
572,Gender by Name,Text,Clustering,,147270,4,2020,Extra Large
573,Iranian Churn Dataset,Multivariate,Regression,Integer,3150,13,2020,Large
574,Unmanned Aerial Vehicle (UAV) Intrusion Detection,Multivariate,Classification,Real,17256,55,2020,Extra Large
575,Shoulder Implant Manufacture Classification,Multivariate,Classification,,597,1,2020,Medium
576,LastFM Asia Social Network,Multivariate,Classification,,7624,7842,2020,Large
577,Wheat kernels,Multivariate,Classification,Real,314,15,2020,Medium
578,Productivity Prediction of Garment Employees,"Multivariate, Time-Series",Regression,"Integer, Real",1197,15,2020,Large
579,Multi-view Brain Networks,Multivariate,Clustering,Integer,70,70,2020,Small
580,LastFM Asia Social Network,Multivariate,Classification,,7624,7842,2020,Large
581,Wisesight Sentiment Corpus,"Multivariate, Text",Classification,,26737,4,2020,Extra Large
582,AI4I 2020 Predictive Maintenance Dataset,"Multivariate, Time-Series",Regression,Real,10000,14,2020,Large
583,Dry Bean Dataset,Multivariate,Classification,"Integer, Real",13611,17,2020,Extra Large
584,in-vehicle coupon recommendation,Multivariate,Classification,,12684,23,2020,Extra Large
585,Gait Classification,Multivariate,Classification,Real,48,321,2020,Small
586,Wikipedia Math Essentials,Time-Series,Regression,Real,731,1068,2021,Medium
587,Wikipedia Math Essentials,Time-Series,Regression,Real,731,1068,2021,Medium
588,Synchronous Machine Data Set,Multivariate,Regression,Real,557,5,2021,Medium
589,Average Localization Error (ALE) in sensor node localization process in WSNs,Multivariate,Regression,Real,107,6,2021,Medium
590,9mers from cullpdb,Sequential,Regression,Real,158716,4,2021,Extra Large
591,TamilSentiMix,,Classification,,15744,,2021,Extra Large
592,Accelerometer,Multivariate,Regression,"Integer, Real",153000,5,2021,Extra Large
593,Synchronous Machine Data Set,Multivariate,Regression,Real,557,5,2021,Medium
594,Pedal Me Bicycle Deliveries,Time-Series,Regression,Real,36,15,2021,Small
595,Turkish Headlines Dataset,Text,Clustering,,4200,7,2021,Large
596,Secondary Mushroom Dataset,Univariate,Classification,Real,61069,21,2021,Extra Large
597,Power consumption of Tetouan city,"Multivariate, Time-Series",Regression,"Integer, Real",52417,9,2021,Extra Large
598,Raisin Dataset,Multivariate,Classification,"Integer, Real",900,8,2021,Medium
599,Steel Industry Energy Consumption Dataset,Multivariate,Regression,,35040,11,2021,Extra Large
600,Gender Gap in Spanish WP,Multivariate,Classification,"Integer, Real",4746,21,2021,Large
601,Non verbal tourists data,Multivariate,Clustering,"Integer, Real",73,22,2021,Small
602,Roman Urdu Sentiment Analysis Dataset (RUSAD),Text,Classification,,11000,2,2021,Extra Large
603,TUANDROMD ( Tezpur University Android Malware Dataset),Multivariate,Classification,Integer,4465,241,2021,Large
604,Higher Education Students Performance Evaluation Dataset,Multivariate,Classification,Integer,145,33,2021,Medium
605,Risk Factor prediction of Chronic Kidney Disease,Multivariate,Regression,Real,202,29,2021,Medium
606,Lab Test,Multivariate,Clustering,,221,7,2021,Medium
607,Shoulder Implant Manufacture Classification,Multivariate,Classification,,597,1,2020,Medium
608,Rocket League Skillshots Data Set,"Multivariate, Time-Series",Classification,Real,298,,2020,Medium
609,Sepsis survival minimal clinical records,Multivariate,Classification,Integer,110341,4,2020,Extra Large
610,Water Quality Prediction,Multivariate,Regression,Real,705,11,2020,Medium
611,Traffic Flow Forecasting,Multivariate,Regression,Real,2101,47,2020,Large
612,sentiment analysis in Saudi Arabia about distance education during Covid-19,Text,Classification,Integer,1765,10,2020,Large
613,Kain Tradisional Sambas,Multivariate,Clustering,,150,3,2020,Medium
614,Image Recognition Task Execution Times in Mobile Edge Computing,"Univariate, Sequential, Time-Series",Regression,Real,4000,2,2020,Large
615,REWEMA,Multivariate,Classification,Integer,6272,632,2020,Large
616,REJAFADA,Multivariate,Classification,Integer,1996,6826,2020,Large
617,Steel Industry Energy Consumption Dataset,Multivariate,Regression,Integer,35040,11,2020,Extra Large
618,Influenza outbreak event prediction via Twitter data,Multivariate,Classification,"Integer, Real",75840,525,2020,Extra Large
619,Turkish Music Emotion Dataset,Multivariate,Classification,"Integer, Real",400,50,2020,Medium
620,Maternal Health Risk Data Set,,Classification,,1014,7,2020,Large
621,Room Occupancy Estimation,"Multivariate, Time-Series",Classification,Real,10129,16,2021,Extra Large
622,Image Recognition Task Execution Times in Mobile Edge Computing,Univariate,Regression,Real,4000,2,2021,Large
